node,node_label
318,"{'type': 'person', 'role': 'TA'}"
657,"{'type': 'person', 'role': 'Student'}"
658,"{'type': 'person', 'role': 'Student'}"
659,"{'type': 'person', 'role': 'Student'}"
660,"{'type': 'person', 'role': 'Student'}"
94,"{'type': 'person', 'role': 'Student'}"
519,"{'type': 'person', 'role': 'Student'}"
325,"{'type': 'person', 'role': 'Student'}"
98,"{'type': 'person', 'role': 'Student'}"
661,"{'type': 'person', 'role': 'Student'}"
662,"{'type': 'person', 'role': 'Student'}"
663,"{'type': 'person', 'role': 'Student'}"
160,"{'type': 'person', 'role': 'Student'}"
3,"{'type': 'person', 'role': 'Student'}"
189,"{'type': 'person', 'role': 'Student'}"
664,"{'type': 'person', 'role': 'Student'}"
363,"{'type': 'person', 'role': 'Student'}"
521,"{'type': 'person', 'role': 'Student'}"
665,"{'type': 'person', 'role': 'Student'}"
666,"{'type': 'person', 'role': 'Student'}"
667,"{'type': 'person', 'role': 'Student'}"
668,"{'type': 'person', 'role': 'Student'}"
669,"{'type': 'person', 'role': 'Student'}"
348,"{'type': 'person', 'role': 'Student'}"
670,"{'type': 'person', 'role': 'Student'}"
102,"{'type': 'person', 'role': 'Student'}"
50,"{'type': 'person', 'role': 'Student'}"
66,"{'type': 'person', 'role': 'Student'}"
163,"{'type': 'person', 'role': 'Student'}"
1,"{'type': 'channel', 'name': 'general'}"
61,"{'type': 'person', 'role': 'Student'}"
6,"{'type': 'person', 'role': 'Student'}"
236,"{'type': 'person', 'role': 'Student'}"
101,"{'type': 'person', 'role': 'Student'}"
524,"{'type': 'person', 'role': 'Student'}"
513,"{'type': 'thread', 'name': 'Is there a zoom link for goodrich class'}"
504,"{'type': 'thread', 'name': 'Project 3 Hackathon'}"
14,"{'type': 'thread', 'name': 'Will there be a final'}"
448,"{'type': 'thread', 'name': 'For question 2 on the practice final ('}"
449,"{'type': 'thread', 'name': '@instructor @teachingassistants answer'}"
15,"{'type': 'thread', 'name': 'The sand answer'}"
16,"{'type': 'thread', 'name': 'Multiple Resolution'}"
17,"{'type': 'thread', 'name': 'Exception'}"
450,"{'type': 'thread', 'name': 'maybe it s just sundays that don t count'}"
18,"{'type': 'thread', 'name': 'Autograder problem'}"
19,"{'type': 'thread', 'name': 'How do we access class via zoom'}"
520,"{'type': 'thread', 'name': 'Pushing Code to GitHub'}"
20,"{'type': 'thread', 'name': 'Project 2 lab session recording'}"
514,"{'type': 'thread', 'name': 'Does png work I assume not since PNG isn'}"
213,"{'type': 'thread', 'name': 'Are there tas working right now'}"
515,"{'type': 'thread', 'name': 'Class is in person today right'}"
174,"{'type': 'thread', 'name': 'So i ve finished the project but i have'}"
451,"{'type': 'thread', 'name': 'This is just a suggestion but would it'}"
509,"{'type': 'thread', 'name': 'I bought my textbook online on RedShelf'}"
516,"{'type': 'thread', 'name': 'Anyone know where I can find the zoom'}"
214,"{'type': 'thread', 'name': 'Hey guys can somebody tell me where I'}"
21,"{'type': 'thread', 'name': 'Hehe'}"
22,"{'type': 'thread', 'name': 'Does anyone know what program Professor'}"
23,"{'type': 'thread', 'name': 'New schedule'}"
494,"{'type': 'thread', 'name': 'Figures for 13.2.2'}"
24,"{'type': 'thread', 'name': 'Project Submission Question'}"
25,"{'type': 'thread', 'name': 'When should I start?'}"
26,"{'type': 'thread', 'name': 'Textbook pdf'}"
27,"{'type': 'thread', 'name': 'Zoom links'}"
191,"{'type': 'thread', 'name': ""That's the initial matrix for Floyd's""}"
28,"{'type': 'thread', 'name': ""Floyd's""}"
525,"{'type': 'thread', 'name': 'When you have something in {} like {3,4'}"
392,"{'type': 'thread', 'name': 'Sounds good to me! Do you want to meet'}"
29,"{'type': 'channel', 'name': 'project-1'}"
485,"{'type': 'person', 'role': 'Student'}"
526,"{'type': 'person', 'role': 'Student'}"
527,"{'type': 'person', 'role': 'Student'}"
331,"{'type': 'thread', 'name': 'Yep! And I can see the changes pushed'}"
452,"{'type': 'thread', 'name': 'I have very bad memory so apologies if'}"
364,"{'type': 'thread', 'name': 'New Lines'}"
350,"{'type': 'thread', 'name': 'Attribute Error'}"
175,"{'type': 'thread', 'name': 'Hey I m getting this issue when I try to'}"
365,"{'type': 'thread', 'name': 'I m getting an error that says that'}"
216,"{'type': 'thread', 'name': 'Does anyone know why I am getting a'}"
332,"{'type': 'thread', 'name': 'Pytest not working'}"
288,"{'type': 'thread', 'name': 'I keep getting a similar error it doesn'}"
366,"{'type': 'thread', 'name': 'I’m running into an issue'}"
322,"{'type': 'thread', 'name': 'I was curious to know how others have'}"
367,"{'type': 'thread', 'name': 'Pytest not loading'}"
368,"{'type': 'thread', 'name': 'For some reason nothing happens when I'}"
393,"{'type': 'thread', 'name': 'Hey guys I am getting a strange error'}"
333,"{'type': 'thread', 'name': 'I figured it out I was passing in'}"
32,"{'type': 'thread', 'name': 'Wait I m so confused I was doing the'}"
253,"{'type': 'thread', 'name': 'Undefined FSA'}"
394,"{'type': 'thread', 'name': 'Where can I find what I m supposed to do'}"
166,"{'type': 'thread', 'name': 'Any idea why I keep getting this error'}"
395,"{'type': 'thread', 'name': 'Check for new line'}"
289,"{'type': 'thread', 'name': 'Where do I find the tutorial on how to'}"
182,"{'type': 'thread', 'name': 'How do I test locally I’ve tried using'}"
334,"{'type': 'thread', 'name': 'Should fsa'}"
369,"{'type': 'thread', 'name': 'What is the best way to handle tokens of'}"
192,"{'type': 'thread', 'name': 'Is there a reason the example code uses'}"
370,"{'type': 'thread', 'name': 'Weird import errors'}"
371,"{'type': 'thread', 'name': 'Is anyone else having issues passing the'}"
372,"{'type': 'thread', 'name': 'How do you get the line numbers Do you'}"
256,"{'type': 'thread', 'name': 'Line numbers'}"
33,"{'type': 'thread', 'name': 'String line number'}"
252,"{'type': 'thread', 'name': 'To submit this to we just push our'}"
373,"{'type': 'thread', 'name': 'Has anybody mastered the art of knowing'}"
374,"{'type': 'thread', 'name': 'is this on Github'}"
284,"{'type': 'thread', 'name': 'Hm I think I might have downloaded the'}"
34,"{'type': 'thread', 'name': 'Ta passoff'}"
290,"{'type': 'thread', 'name': 'still looking for a little bit of help'}"
375,"{'type': 'thread', 'name': 'I don t have a token file The token'}"
193,"{'type': 'thread', 'name': 'Are we allowed to use one FSA in another'}"
505,"{'type': 'thread', 'name': 'Thread'}"
376,"{'type': 'thread', 'name': 'What are the specifications for each'}"
35,"{'type': 'thread', 'name': 'Case sensitive'}"
273,"{'type': 'thread', 'name': 'Import Paths'}"
217,"{'type': 'thread', 'name': 'how did you determine a token was and'}"
442,"{'type': 'thread', 'name': 'Are you not allwed to have multiple constructors?'}"
358,"{'type': 'thread', 'name': 'The autograder doesn t seem to be'}"
36,"{'type': 'thread', 'name': 'That sounds good I think a strong can'}"
37,"{'type': 'thread', 'name': 'Whitespace'}"
38,"{'type': 'thread', 'name': 'Undefined token values'}"
39,"{'type': 'thread', 'name': 'Lexer.run() output'}"
40,"{'type': 'thread', 'name': 'Did you guys make a new file for each'}"
291,"{'type': 'thread', 'name': 'This is also the problem I m stuck with'}"
506,"{'type': 'thread', 'name': 'Should the states be functions or'}"
512,"{'type': 'thread', 'name': 'Do we need to do anything on Learning'}"
356,"{'type': 'thread', 'name': 'Did you get this resolved I m having the'}"
453,"{'type': 'thread', 'name': 'Any ideas on how to fix this error It'}"
294,"{'type': 'thread', 'name': 'I know that the algorithm involves'}"
41,"{'type': 'thread', 'name': 'I drew up my ID FSA and I noticed that'}"
431,"{'type': 'thread', 'name': 'function signifier'}"
443,"{'type': 'thread', 'name': 'In this example for ID'}"
475,"{'type': 'thread', 'name': 'Quick question that doesn t matter at'}"
295,"{'type': 'thread', 'name': 'Hey I just realized that my new Project'}"
335,"{'type': 'thread', 'name': 'Help with white space'}"
336,"{'type': 'thread', 'name': 'When to end ID'}"
42,"{'type': 'thread', 'name': 'Ok this is driving me crazy and I can t'}"
480,"{'type': 'thread', 'name': 'Are there test cases anywhere that we'}"
481,"{'type': 'thread', 'name': 'Can we put a lot of FSA classes into one'}"
296,"{'type': 'thread', 'name': 'I have a question about where exactly we'}"
297,"{'type': 'thread', 'name': 'Just had a question regarding code style'}"
218,"{'type': 'thread', 'name': 'Say the input string is “ k” I’m pretty'}"
43,"{'type': 'thread', 'name': 'A commit was made'}"
44,"{'type': 'thread', 'name': 'I’m a bit confused about which example'}"
45,"{'type': 'thread', 'name': 'String FSA'}"
337,"{'type': 'thread', 'name': 'Jupiter password'}"
46,"{'type': 'thread', 'name': 'The project1 guide pdf available on the'}"
47,"{'type': 'channel', 'name': 'project-2'}"
